code,country,both,male,female
004,Afghanistan,0.93,0.93,
008,Albania,3.3,3.3,
012,Algeria,0.68,0.68,
024,Angola,0.68,0.68,
031,Azerbaijan,1.17,1.17,
032,Argentina,8.54,8.54,
036,Australia,7.3,7.3,
040,Austria,8.04,8.04,
044,Bahamas,0.0,0.0,
048,Bahrain,0.45,0.45,
050,Bangladesh,0.43,0.43,
051,Armenia,2.89,2.89,
052,Barbados,0.0,0.0,
056,Belgium,6.35,6.35,
064,Bhutan,0.0,0.0,
068,Bolivia,1.44,1.44,
070,Bosnia Herzegovina,6.92,6.92,
072,Botswana,0.07,0.07,
076,Brazil,2.72,2.72,
084,Belize,0.0,0.0,
090,Solomon Islands,1.57,1.57,
096,Brunei Darussalam,1.19,1.19,
100,Bulgaria,4.5,4.5,
104,Myanmar,0.52,0.52,
108,Burundi,0.44,0.44,
112,Belarus,2.73,2.73,
116,Cambodia,0.89,0.89,
120,Cameroon,0.36,0.36,
124,Canada,5.82,5.82,
132,Cape Verde,0.72,0.72,
140,Central African Republic,0.1,0.1,
144,Sri Lanka,0.73,0.73,
148,Chad,0.4,0.4,
152,Chile,7.51,7.51,
156,China,0.41,0.41,
170,Colombia,4.46,4.46,
174,Comoros,0.0,0.0,
178,"Congo, Republic of",0.03,0.03,
180,"Congo, Democratic Republic of",0.22,0.22,
188,Costa Rica,3.99,3.99,
191,Croatia,11.33,11.33,
192,Cuba,1.34,1.34,
196,Cyprus,6.55,6.55,
203,Czechia,9.01,9.01,
204,Benin,0.33,0.33,
208,Denmark,10.18,10.18,
214,Dominican Republic,0.14,0.14,
218,Ecuador,3.78,3.78,
222,El Salvador,1.2,1.2,
226,Equatorial Guinea,0.08,0.08,
231,Ethiopia,0.56,0.56,
232,Eritrea,0.64,0.64,
233,Estonia,4.51,4.51,
242,Fiji,3.73,3.73,
246,Finland,6.78,6.78,
250,France (metropolitan),7.5,7.5,
254,French Guyana,0.66,0.66,
258,French Polynesia,1.4,1.4,
262,Djibouti,0.0,0.0,
266,Gabon,0.3,0.3,
268,Georgia,6.04,6.04,
270,The Republic of the Gambia,0.07,0.07,
275,Gaza Strip and West Bank,1.59,1.59,
276,Germany,9.5,9.5,
288,Ghana,0.42,0.42,
300,Greece,9.09,9.09,
312,"France, Guadeloupe",2.04,2.04,
316,Guam,0.0,0.0,
320,Guatemala,2.49,2.49,
324,Guinea,0.19,0.19,
328,Guyana,0.28,0.28,
332,Haiti,1.78,1.78,
340,Honduras,2.08,2.08,
348,Hungary,11.37,11.37,
352,Iceland,6.89,6.89,
356,India,0.57,0.57,
360,Indonesia,1.07,1.07,
364,"Iran, Islamic Republic of",1.41,1.41,
368,Iraq,1.29,1.29,
372,Ireland,6.6,6.6,
376,Israel,3.07,3.07,
380,Italy,8.98,8.98,
384,Côte d'Ivoire,0.1,0.1,
388,Jamaica,0.29,0.29,
392,Japan,3.78,3.78,
398,Kazakhstan,1.37,1.37,
400,Jordan,1.66,1.66,
404,Kenya,0.14,0.14,
408,"Korea, Democratic People Republic of",0.39,0.39,
410,"Korea, Republic of",1.24,1.24,
414,Kuwait,0.63,0.63,
417,Kyrgyzstan,0.82,0.82,
418,Lao People's Democratic Republic,0.52,0.52,
422,Lebanon,2.77,2.77,
426,Lesotho,0.23,0.23,
428,Latvia,3.04,3.04,
430,Liberia,0.06,0.06,
434,Libya,0.61,0.61,
440,Lithuania,2.69,2.69,
442,Luxembourg,10.51,10.51,
450,Madagascar,0.24,0.24,
454,Malawi,0.5,0.5,
458,Malaysia,0.72,0.72,
462,Maldives,0.39,0.39,
466,Mali,0.64,0.64,
470,Malta,9.1,9.1,
474,"France, Martinique",0.0,0.0,
478,Mauritania,0.37,0.37,
480,Mauritius,1.33,1.33,
484,Mexico,5.14,5.14,
496,Mongolia,0.54,0.54,
498,Moldova,1.85,1.85,
499,Montenegro,6.84,6.84,
504,Morocco,0.79,0.79,
508,Mozambique,0.22,0.22,
512,Oman,0.67,0.67,
516,Namibia,0.95,0.95,
524,Nepal,0.18,0.18,
528,The Netherlands,9.74,9.74,
540,New Caledonia,3.14,3.14,
548,Vanuatu,1.53,1.53,
554,New Zealand,7.17,7.17,
558,Nicaragua,2.08,2.08,
562,Niger,0.59,0.59,
566,Nigeria,1.39,1.39,
578,Norway,11.34,11.34,
586,Pakistan,0.7,0.7,
591,Panama,1.48,1.48,
598,Papua New Guinea,1.05,1.05,
600,Paraguay,6.38,6.38,
604,Peru,3.87,3.87,
608,Philippines,0.77,0.77,
616,Poland,8.39,8.39,
620,Portugal,6.31,6.31,
624,Guinea-Bissau,0.0,0.0,
626,Timor-Leste,0.49,0.49,
630,Puerto Rico,3.1,3.1,
634,Qatar,0.45,0.45,
638,"France, La Réunion",2.44,2.44,
642,Romania,3.81,3.81,
643,Russian Federation,2.14,2.14,
646,Rwanda,0.44,0.44,
662,Saint Lucia,0.0,0.0,
678,Sao Tome and Principe,0.0,0.0,
682,Saudi Arabia,0.8,0.8,
686,Senegal,0.22,0.22,
688,Serbia,8.12,8.12,
694,Sierra Leone,0.0,0.0,
702,Singapore,2.18,2.18,
703,Slovakia,13.21,13.21,
704,Viet Nam,0.51,0.51,
705,Slovenia,13.01,13.01,
706,Somalia,0.37,0.37,
710,South Africa,0.7,0.7,
716,Zimbabwe,0.2,0.2,
724,Spain,7.01,7.01,
728,South Sudan,0.39,0.39,
729,Sudan,0.66,0.66,
740,Suriname,1.46,1.46,
748,Eswatini,0.0,0.0,
752,Sweden,7.52,7.52,
756,Switzerland,10.32,10.32,
760,Syrian Arab Republic,1.97,1.97,
762,Tajikistan,0.43,0.43,
764,Thailand,0.63,0.63,
768,Togo,0.38,0.38,
780,Trinidad and Tobago,1.61,1.61,
784,United Arab Emirates,0.57,0.57,
788,Tunisia,0.68,0.68,
792,Türkiye,3.78,3.78,
795,Turkmenistan,1.98,1.98,
800,Uganda,0.45,0.45,
804,Ukraine,1.94,1.94,
807,North Macedonia,7.04,7.04,
818,Egypt,0.61,0.61,
826,United Kingdom,6.7,6.7,
834,"Tanzania, United Republic of",0.29,0.29,
840,United States of America,5.49,5.49,
854,Burkina Faso,0.25,0.25,
858,Uruguay,6.54,6.54,
860,Uzbekistan,1.66,1.66,
862,Venezuela,2.46,2.46,
882,Samoa,3.92,3.92,
887,Yemen,0.2,0.2,
894,Zambia,0.26,0.26,
